,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
342,40370,Washington/Dearborn,03/01/2001,9148.2,2637.8,1364.5,219907,blue
343,40790,Monroe/Dearborn,03/01/2001,5987.7,1304.0,654.5,140867,blue
344,40070,Jackson/Dearborn,03/01/2001,7562.1,2407.2,1175.5,183105,blue
345,41340,LaSalle,03/01/2001,2292.6,447.4,239.5,53632,blue
346,40430,Clinton-Forest Park,03/01/2001,2310.0,821.6,666.0,57591,blue
347,40350,UIC-Halsted,03/01/2001,3825.9,1149.2,606.5,92342,blue
348,40470,Racine,03/01/2001,2249.8,968.0,543.3,56509,blue
349,40810,Medical Center,03/01/2001,1987.8,1051.8,688.5,51744,blue
350,40220,Western-Forest Park,03/01/2001,1009.0,685.2,475.0,27525,blue
351,40250,Kedzie-Homan-Forest Park,03/01/2001,1371.1,939.4,570.5,37143,blue
352,40920,Pulaski-Forest Park,03/01/2001,1222.4,913.6,636.3,34005,blue
353,40970,Cicero-Forest Park,03/01/2001,1042.0,739.2,480.3,28542,blue
354,40010,Austin-Forest Park,03/01/2001,1558.5,731.0,408.5,39576,blue
355,40180,Oak Park-Forest Park,03/01/2001,1428.5,487.8,236.0,34810,blue
356,40980,Harlem-Forest Park,03/01/2001,805.6,435.0,257.5,20928,blue
